id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
17019117,2017-02-16 15:12:00,1183-Trfc Collision-Unkn Inj,37.317268,-121.939301,35.0,407710,0.06024192016328301
17019118,2017-02-16 15:10:00,1183-Trfc Collision-Unkn Inj,37.317268,-121.939301,70.0,407710,0.06024192016328301
17019127,2017-02-16 15:17:00,1125-Traffic Hazard,37.290418,-121.871401,7.0,400257,0.15059280451911608
17019128,2017-02-16 15:15:00,1125-Traffic Hazard,37.337855,-122.059774,19.0,407373,0.02587157368590928
17019160,2017-02-16 15:32:00,BREAK-Traffic Break,37.292202,-121.93737,17.0,400298,0.10847977242750202
17019181,2017-02-16 15:41:00,1183-Trfc Collision-Unkn Inj,37.317935,-121.980482,3.0,400414,0.3530918549185671
17019199,2017-02-16 15:44:00,1125-Traffic Hazard,37.317202,-121.94032,7.0,407711,0.13213518512889452
17019246,2017-02-16 16:04:00,1182-Trfc Collision-No Inj,37.385401,-121.976136,65.0,401994,0.032281731366230394
17019289,2017-02-16 16:26:00,1182-Trfc Collision-No Inj,37.297543,-122.028974,33.0,400507,0.17962694822313743
17019290,2017-02-16 16:25:00,1125-Traffic Hazard,37.328643,-121.8703,9.0,403402,0.05571547670956487
17019291,2017-02-16 16:24:00,1125-Traffic Hazard,37.328643,-121.8703,1.0,403402,0.05571547670956487
17019305,2017-02-16 16:30:00,1125-Traffic Hazard,37.378212,-121.903355,9.0,402121,0.24192602150245585
17019330,2017-02-16 16:43:00,1125-Traffic Hazard,37.334223,-122.03763,26.0,400823,0.8346139897430105
17019346,2017-02-16 16:44:00,1125-Traffic Hazard,37.334223,-122.03763,19.0,400823,0.8346139897430105
17019395,2017-02-16 17:05:00,1179-Trfc Collision-1141 Enrt,37.400839,-122.035397,19.0,400545,0.21154287859072518
17019464,2017-02-16 17:44:00,1183-Trfc Collision-Unkn Inj,37.256337,-121.958098,11.0,400832,0.24227577680297746
17019466,2017-02-16 17:42:00,1183-Trfc Collision-Unkn Inj,37.256337,-121.958098,40.0,400832,0.24227577680297746
17019478,2017-02-16 17:45:00,1182-Trfc Collision-No Inj,37.248259,-121.832185,61.0,400519,2.391303347948602
17019513,2017-02-16 18:00:00,1125-Traffic Hazard,37.428169,-122.10143,17.0,401507,2.976824533011835
17019554,2017-02-16 18:23:00,1125-Traffic Hazard,37.364098,-121.901972,18.0,400045,0.08250944416809863
17019557,2017-02-16 18:19:00,1125-Traffic Hazard,37.364098,-121.901972,17.0,400045,0.08250944416809863
17019629,2017-02-16 18:53:00,20002-Hit and Run No Injuries,37.340009,-121.851113,23.0,400665,0.25639548790060784
17019761,2017-02-16 20:45:00,1125-Traffic Hazard,37.355891,-121.909472,1.0,401440,0.12755097854898295
17019855,2017-02-16 22:08:00,MZP-Assist CT with Maintenance,37.354804,-121.838401,15.0,407176,0.4618576083127318
17019860,2017-02-16 22:25:00,1125-Traffic Hazard,37.392278,-121.999993,3.0,400790,0.21631596157558222
17019883,2017-02-16 22:54:00,1125-Traffic Hazard,37.34365,-121.855732,39.0,401890,0.031091494303802227
17019888,2017-02-16 23:01:00,1125-Traffic Hazard,37.324513,-121.892891,12.0,400236,0.056015421670839
